time,temperature,humidity,precipitation,wind,wind_gust,pressure,cloud,dewpoint
2026-05-21T00:00,18.9,51,0,1.1,2.5,1004.1,0,8.5
2026-05-21T01:00,18.2,57,0,2.7,4.0,1003.9,0,9.5
2026-05-21T02:00,17.7,61,0,3.2,6.8,1003.7,0,10.1
2026-05-21T03:00,16.9,67,0,3.1,9.0,1003.1,0,10.8
2026-05-21T04:00,16.5,63,0,3.6,8.6,1003.0,0,9.5
2026-05-21T05:00,16.3,61,0,3.6,8.3,1002.9,8,8.8
2026-05-21T06:00,15.7,61,0,3.1,9.0,1002.6,5,8.2
2026-05-21T07:00,15.7,59,0,3.8,9.4,1003.2,0,7.7
2026-05-21T08:00,17.1,58,0,2.3,8.6,1003.0,0,8.8
2026-05-21T09:00,20.5,51,0,1.5,7.2,1003.5,0,10.0
2026-05-21T10:00,22.8,41,0,3.8,13.3,1003.3,0,8.9
2026-05-21T11:00,24.5,39,0,5.6,19.1,1003.5,17,9.7
2026-05-21T12:00,25.4,35,0,6.2,16.9,1002.9,55,8.9
2026-05-21T13:00,25.8,39,0,6.6,19.8,1003.1,64,10.8
2026-05-21T14:00,26.4,43,0,5.2,21.2,1002.7,68,12.9
2026-05-21T15:00,26.5,40,0,3.6,15.5,1002.3,76,11.8
2026-05-21T16:00,25.6,47,0.1,8.5,25.9,1002.3,78,13.5
2026-05-21T17:00,24.8,52,0.1,6.5,29.9,1002.0,100,14.3
2026-05-21T18:00,24.3,57,0.1,5.1,26.3,1002.0,68,15.2
2026-05-21T19:00,23.8,60,0.1,4.1,22.3,1002.2,100,15.6
2026-05-21T20:00,23.1,57,0,2.5,14.4,1002.4,76,14.1
2026-05-21T21:00,22.0,57,0,2.1,8.3,1002.7,79,13.1
2026-05-21T22:00,21.1,62,0,0.8,4.7,1003.1,67,13.5
2026-05-21T23:00,20.3,65,0,1.1,2.5,1003.1,23,13.5
2026-05-22T00:00,19.5,66,0,2.8,4.3,1003.0,55,13.0
2026-05-22T01:00,18.4,69,0,4.8,10.1,1003.0,32,12.6
2026-05-22T02:00,17.6,71,0,4.8,11.5,1002.8,29,12.3
2026-05-22T03:00,17.0,69,0,5.1,11.9,1002.6,27,11.3
2026-05-22T04:00,16.7,65,0,5.4,13.3,1002.4,0,10.1
2026-05-22T05:00,16.4,62,0,5.9,15.1,1002.5,0,9.1
2026-05-22T06:00,16.2,64,0,5.6,15.5,1002.9,7,9.4
2026-05-22T07:00,16.3,66,0,4.8,14.4,1003.3,6,10.0
2026-05-22T08:00,18.2,63,0,3.6,13.0,1003.6,49,11.0
2026-05-22T09:00,21.2,57,0,1.1,9.7,1003.9,100,12.3
2026-05-22T10:00,23.2,47,0,1.8,9.7,1004.1,100,11.3
2026-05-22T11:00,24.6,42,0,4.0,16.2,1004.4,100,10.9
2026-05-22T12:00,25.5,37,0,6.4,25.9,1004.3,100,9.8
2026-05-22T13:00,25.2,40,0.1,10.5,23.8,1004.8,100,10.6
2026-05-22T14:00,24.7,47,0.1,6.1,27.4,1004.8,100,12.7
2026-05-22T15:00,24.7,48,0,4.6,15.1,1004.7,100,13.0
2026-05-22T16:00,22.4,73,1.6,4.4,28.1,1004.7,100,17.3
2026-05-22T17:00,22.3,71,0.7,4.8,28.8,1004.4,100,16.8
2026-05-22T18:00,22.2,66,0.2,3.7,23.4,1004.0,100,15.5
2026-05-22T19:00,22.2,64,0.3,2.6,16.9,1003.8,100,15.1
2026-05-22T20:00,21.7,68,0.1,4.1,13.7,1004.1,100,15.6
2026-05-22T21:00,21.0,72,0,4.4,10.1,1004.2,100,15.8
2026-05-22T22:00,20.4,77,0,2.8,9.7,1004.6,99,16.3
2026-05-22T23:00,20.0,81,0,3.0,9.4,1004.6,100,16.6
